variant,prompt,response,feedback
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. OneSizeFitAll Loafers
3. AdaptaStride Sneakers
4. FlexiFit Footwear
5. VersaFit Flats",1
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","OmniFit Shoes, AdaptiSole, PerfectFit Shoes, MultiSize Sneakers.",0
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit Shoes, OmniStep Shoes, CustomFit Footwear, OmniSole Shoes",1
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniStride Shoes
2. FlexFit Footwear
3. AdaptaSole Shoes
4. SizeFlex Sneakers
5. OmniFit Footwear
6. VersaStride Shoes
7. U-Fit Footwear
8. AdaptiStep Sneakers
9. FlexiFit Shoes
10. OmniGlide Footwear",1
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","OmniFit Shoes, AdaptiSole, FlexiFit Footwear, FitAll
Sneakers",0
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit Shoes, OmniFit Sneakers, FlexiFit Footwear, PerfectFit Shoes.",1
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. FlexiFit Footwear
3. SizeMaster Shoes
4. AdaptEase Sneakers
5. UniversalFit Footgear",0
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. AdaptiFit Sneakers
3. VersaFit Footwear
4. FlexiFit Shoes
5. AllSize Sneakers
6. Universal Comfort Shoes
7. OneFit Footwear
8. SizeFlex Shoes
9. PerfectFit Sneakers
10. CustomFit Footwear",1
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit Shoes, FitFlex Footwear, OmniSize Sneakers, PerfectFit Shoes",0
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. AnyFit Shoes
2. Omni-Adapt Shoes
3. FlexiFit Footwear
4. OneSize Fits All Shoes
5. VersaFit Shoes",1
